stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
40.098025,,-88.2764,KBYMATS:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbymats,KBYMATS,,Kirby & Mattis (SE Corner),0,
40.09819,,-88.27742833,KBYMATS:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbymats,KBYMATS,,Kirby & Mattis (SW Corner),0,
40.098165,,-88.27747833,KBYMATS:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbymats,KBYMATS,,Kirby & Mattis (NE Corner),0,
40.09722,,-88.27659,KBYMATS:7,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbymats,KBYMATS,,Kirby & Mattis (SW Far Side),0,
40.09851167,,-88.276595,KBYMATS:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbymats,KBYMATS,,Kirby & Mattis (NW Corner),0,
40.12715667,,-88.26053,BRADWLS:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bradwls,BRADWLS,,Bradley & Willis (SW Corner),0,
40.1162518867,,-88.24692689,STEUNI,http://www.cumtd.com/maps-and-schedules/bus-stops/info/steuni,,,State and University,1,
40.11747833,,-88.18946,BTSLRMN:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/btslrmn,BTSLRMN,,Butzow & Lierman (SE Corner),0,
40.10329833,,-88.181465,KNCHRAIN:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/knchrain,KNCHRAIN,,Kinch & Rainbow View (NW Corner),0,
40.139193,,-88.194596,NPLTNANTHNY,,,,Napleton and Anthony,1,
40.11993167,,-88.23706833,WASH2ND:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wash2nd,WASH2ND,,Washington & Second (SE Corner),0,
40.1227722168,,-88.2887191772,CLTNHLT:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnhlt,CLTNHLT,,Clayton & Hilltop (NE Corner),0,
40.086926165,,-88.276379,MATSBRCH,http://www.cumtd.com/maps-and-schedules/bus-stops/info/matsbrch,,,Mattis and Branch Rd.,1,
40.09124667,,-88.26907,MYFRTDR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/myfrtdr,,,Mayfair and Theodore,1,
40.10907167,,-88.25570667,JOHNPINE:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnpine,JOHNPINE,,John & Pine (NE Corner),0,
40.083854968,,-88.1902778595,PHILOWDSR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/philowdsr,,,Philo and Windsor,1,
40.10899167,,-88.25592,JOHNPINE:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnpine,JOHNPINE,,John & Pine (SW Corner),0,
40.10714667,,-88.21934,LNCLNOR:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lnclnor,LNCLNOR,,Lincoln & Oregon (NW Corner),0,
40.10070333,,-88.21188667,PACARL:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pacarl,PACARL,,Penn & Carle (NE Corner),0,
40.131577,,-88.288139,PKLN,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pkln,,,Parkland College,1,
40.10066667,,-88.21212667,PACARL:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pacarl,PACARL,,Penn & Carle (SW Corner),0,
40.10546167,,-88.20493167,VINWASH:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/vinwash,VINWASH,,Vine & Washington (SE Corner),0,
40.083681,,-88.200687,WDSRVIN:6,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdsrvin,WDSRVIN,,Windsor & Vine (South Side),0,
40.09799,,-88.25347833,KBYCRNDO:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbycrndo,KBYCRNDO,,Kirby & Coronado (SE Corner),0,
40.098045,,-88.253603,KBYCRNDO:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbycrndo,KBYCRNDO,,Kirby & Coronado (SW Corner),0,
40.11844667,,-88.274765,CHCHVCTR:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/chchvctr,CHCHVCTR,,Church & Victor (NE Corner),0,
